id,email,name,passwordHash,role,status,profileImageUrl,createdAt,updatedAt,centerId,favoriteCenterId,birthDate,currentWeight,gender,height,medicalNotes,activityLevel,goal,auth_user_id
cmo1zpivw00jdvbrc6q7set57,superadmin1@metaforce.es,Carlos Martín López,$2b$10$nh5iS.pql51nw.DJkf83Feb2RwT8qJuq5Jx/2OnqWuZaqYnvsAAQ6,SUPERADMIN,ACTIVE,,2026-04-16T21:27:09.788,2026-04-16T21:27:09.788,,cmo1zohq30000vbxwgucrffzo,,,,,,,,
cmo1zpiyq00jfvbrcik2jw31a,superadmin2@metaforce.es,María García Rodríguez,$2b$10$nh5iS.pql51nw.DJkf83Feb2RwT8qJuq5Jx/2OnqWuZaqYnvsAAQ6,SUPERADMIN,ACTIVE,,2026-04-16T21:27:09.89,2026-04-16T21:27:09.89,,cmo1zoht40001vbxwewve7u9j,,,,,,,,
cmo1zpj1i00jhvbrcp03d5ohb,admin1@metaforcesevilla.es,Admin Centro1,$2b$10$paV4aTa9B1GEU29DDmGmMuXswDq8OFOv0LBkUFEJdLmcrOCVcSsie,ADMIN_CENTER,ACTIVE,,2026-04-16T21:27:09.991,2026-04-16T21:27:09.991,cmo1zohq30000vbxwgucrffzo,cmo1zohq30000vbxwgucrffzo,,,,,,,,
cmo1zpj4b00jjvbrck5qazpv6,admin2@metaforcemálaga.es,Admin Centro2,$2b$10$paV4aTa9B1GEU29DDmGmMuXswDq8OFOv0LBkUFEJdLmcrOCVcSsie,ADMIN_CENTER,ACTIVE,,2026-04-16T21:27:10.091,2026-04-16T21:27:10.091,cmo1zoht40001vbxwewve7u9j,cmo1zoht40001vbxwewve7u9j,,,,,,,,
cmo1zpj5r00jlvbrckuiyy27r,admin3@metaforcegranada.es,Admin Centro3,$2b$10$paV4aTa9B1GEU29DDmGmMuXswDq8OFOv0LBkUFEJdLmcrOCVcSsie,ADMIN_CENTER,ACTIVE,,2026-04-16T21:27:10.143,2026-04-16T21:27:10.143,cmo1zohuh0002vbxw0ie7757y,cmo1zohuh0002vbxw0ie7757y,,,,,,,,
cmo1zpj7600jnvbrc6u2466e7,admin4@metaforcecórdoba.es,Admin Centro4,$2b$10$paV4aTa9B1GEU29DDmGmMuXswDq8OFOv0LBkUFEJdLmcrOCVcSsie,ADMIN_CENTER,ACTIVE,,2026-04-16T21:27:10.195,2026-04-16T21:27:10.195,cmo1zohvt0003vbxwf8470j45,cmo1zohvt0003vbxwf8470j45,,,,,,,,
cmo1zpj8l00jpvbrcioq7ju6b,admin5@metaforcecádiz.es,Admin Centro5,$2b$10$paV4aTa9B1GEU29DDmGmMuXswDq8OFOv0LBkUFEJdLmcrOCVcSsie,ADMIN_CENTER,ACTIVE,,2026-04-16T21:27:10.246,2026-04-16T21:27:10.246,cmo1zohx60004vbxwnr4a0wml,cmo1zohx60004vbxwnr4a0wml,,,,,,,,
cmo1zpja200jrvbrcxl5m74kq,admin6@metaforcehuelva.es,Admin Centro6,$2b$10$paV4aTa9B1GEU29DDmGmMuXswDq8OFOv0LBkUFEJdLmcrOCVcSsie,ADMIN_CENTER,ACTIVE,,2026-04-16T21:27:10.298,2026-04-16T21:27:10.298,cmo1zohyk0005vbxwqwn0i383,cmo1zohyk0005vbxwqwn0i383,,,,,,,,
cmo1zpjbm00jtvbrc21fjv3yn,admin7@metaforcealmería.es,Admin Centro7,$2b$10$paV4aTa9B1GEU29DDmGmMuXswDq8OFOv0LBkUFEJdLmcrOCVcSsie,ADMIN_CENTER,ACTIVE,,2026-04-16T21:27:10.354,2026-04-16T21:27:10.354,cmo1zohzx0006vbxwoq4zgeci,cmo1zohzx0006vbxwoq4zgeci,,,,,,,,
cmo1zpjd100jvvbrcetlmscu4,admin8@metaforcejaén.es,Admin Centro8,$2b$10$paV4aTa9B1GEU29DDmGmMuXswDq8OFOv0LBkUFEJdLmcrOCVcSsie,ADMIN_CENTER,ACTIVE,,2026-04-16T21:27:10.406,2026-04-16T21:27:10.406,cmo1zoi1a0007vbxw5vqgotgl,cmo1zoi1a0007vbxw5vqgotgl,,,,,,,,
